OrderID,ProductCategory,ProductID,Supplier,OriginCountry,DestinationCity,ShippingMode,OrderDate,ShipDate,DeliveryDate,PromisedDate,OrderStatus,UnitsOrdered,UnitCost,UnitPrice,ManufacturingCost,TransportationCost,DamagedUnits,ReturnStatus,SatisfactionScore
10020,Apparel,SKU-2885,Supplier C,USA,New York,Land,9/26/2024,9/30/2024,10/10/2024,10/13/2024,Delivered,203,37.38,68.27,7588.14,341.47,0,No,5
10021,Home Goods,HG-792,National Logistics,USA,Los Angeles,Air,12/10/2023,12/13/2023,12/20/2023,12/24/2023,Delivered,149,94.2,194.22,14035.8,1052.68,5,No,3
10022,Electronics,Model-E903,Supplier C,China,Chicago,Air,3/26/2025,3/28/2025,4/2/2025,4/4/2025,Delivered,208,44.23,103.57,9199.84,689.99,0,No,5
10023,Apparel,SKU-1750,Supplier B,Germany,Houston,Express,5/23/2024,5/27/2024,5/29/2024,5/29/2024,Delivered,359,46.45,80.73,16675.55,1667.56,0,No,5
10024,Home Goods,HG-792,Supplier C,Mexico,Phoenix,Air,9/30/2025,10/5/2025,10/7/2025,10/10/2025,Delivered,500,94.38,197.22,47190,3539.25,0,No,5
10025,Home Goods,HG-871,Global Imports,China,New York,Express,8/13/2024,8/14/2024,8/15/2024,8/19/2024,Delivered,61,107.09,257.41,6532.49,653.25,0,No,5
10026,Apparel,SKU-6533,Supplier B,USA,Los Angeles,Sea,6/25/2024,6/30/2024,,7/26/2024,Cancelled,289,49.57,91.57,14325.73,429.77,0,No,
10027,Home Goods,HG-593,Supplier A,Germany,Chicago,Express,4/26/2025,4/30/2025,5/1/2025,5/4/2025,Delivered,305,129.63,312.09,39537.15,3953.72,0,No,5
10028,Apparel,SKU-6533,Supplier A,USA,Houston,Express,9/7/2024,9/12/2024,9/13/2024,9/16/2024,Delivered,413,104.29,183.43,43071.77,4307.18,0,No,5
10029,Home Goods,HG-871,Supplier C,USA,Phoenix,Land,4/27/2025,4/28/2025,5/4/2025,5/6/2025,Delivered,83,98,217.99,8134,366.03,8,No,3
10030,Electronics,Model-C260,National Logistics,USA,New York,Express,4/30/2024,5/3/2024,5/4/2024,5/3/2024,Delayed,152,120.96,277.33,18385.92,1838.59,0,No,4
10031,Apparel,SKU-7098,Supplier B,China,Los Angeles,Air,2/19/2024,2/21/2024,2/27/2024,3/1/2024,Delivered,391,13.65,30.12,5337.15,400.29,0,No,5
10032,Electronics,Model-B583,Global Imports,China,Chicago,Sea,3/20/2025,3/24/2025,5/1/2025,5/1/2025,Delivered,144,73.08,148.81,10523.52,315.71,0,No,5
10033,Home Goods,HG-871,Supplier B,Germany,Houston,Land,2/11/2024,2/14/2024,2/25/2024,2/24/2024,Delayed,286,100.32,150.87,28691.52,1291.12,0,Yes,3
10034,Home Goods,HG-593,Supplier C,Vietnam,Phoenix,Express,7/29/2025,7/30/2025,7/31/2025,8/2/2025,Delivered,402,147.49,253.05,59290.98,5929.1,0,No,5
10035,Home Goods,HG-792,Supplier C,Germany,New York,Land,8/4/2024,8/7/2024,8/18/2024,8/21/2024,Delivered,286,63.4,143.23,18132.4,815.96,0,No,5
10036,Apparel,SKU-8340,National Logistics,Germany,Los Angeles,Land,1/1/2025,1/4/2025,1/9/2025,1/10/2025,Delivered,120,117.95,187.24,14154,636.93,0,No,5
10037,Electronics,Model-C260,Supplier C,Germany,Chicago,Air,5/5/2025,5/9/2025,5/11/2025,5/10/2025,Delayed,115,43.95,100.94,5054.25,379.07,0,Yes,3
10038,Electronics,Model-D274,National Logistics,China,Houston,Express,4/10/2025,4/13/2025,4/15/2025,4/16/2025,Delivered,52,141.01,349.93,7332.52,733.25,0,No,5
10039,Apparel,SKU-2885,National Logistics,Vietnam,Phoenix,Air,9/10/2025,9/13/2025,9/16/2025,9/18/2025,Delivered,246,133.95,222.64,32951.7,2471.38,24,No,3
10040,Electronics,Model-E903,Supplier B,Vietnam,New York,Express,7/28/2024,7/29/2024,7/30/2024,8/2/2024,Delivered,406,44.09,79.99,17900.54,1790.05,0,No,5
10041,Electronics,Model-B583,Global Imports,Germany,Los Angeles,Air,10/19/2024,10/22/2024,10/29/2024,10/29/2024,Delivered,461,143.84,246.03,66310.24,4973.27,0,No,5
10042,Electronics,Model-C260,Supplier B,China,Chicago,Land,12/19/2024,12/21/2024,12/30/2024,1/2/2025,Delivered,307,96.49,151.58,29622.43,1333.01,0,No,5
10043,Electronics,Model-E903,Supplier A,USA,Houston,Air,2/7/2025,2/9/2025,,2/16/2025,Cancelled,259,19.22,44.33,4977.98,373.35,0,No,
10044,Electronics,Model-A897,Supplier C,Vietnam,Phoenix,Air,1/17/2025,1/18/2025,1/25/2025,1/28/2025,Delivered,137,48.98,87.93,6710.26,503.27,0,No,5
10045,Apparel,SKU-6533,Supplier C,USA,New York,Land,7/31/2024,8/4/2024,8/16/2024,8/17/2024,Delivered,406,126.67,225.36,51428.02,2314.26,0,No,5
10046,Home Goods,HG-593,Supplier A,Germany,Los Angeles,Sea,3/9/2025,3/13/2025,4/9/2025,4/12/2025,Delivered,401,18.61,38.16,7462.61,223.88,0,No,5
10047,Home Goods,HG-723,Supplier A,USA,Chicago,Sea,12/14/2023,12/18/2023,1/19/2024,1/21/2024,Delivered,76,49.96,105.23,3796.96,113.91,0,No,5
10048,Home Goods,HG-723,Supplier C,Vietnam,Houston,Sea,4/16/2025,4/18/2025,5/10/2025,5/10/2025,Delivered,499,71.25,162.37,35553.75,1066.61,0,No,5
10049,Electronics,Model-E903,Supplier C,Mexico,Phoenix,Land,12/2/2023,12/5/2023,12/16/2023,12/19/2023,Delivered,473,115.2,185.88,54489.6,2452.03,0,No,5
10050,Electronics,Model-E903,National Logistics,China,New York,Land,11/18/2023,11/23/2023,,12/5/2023,Cancelled,337,118.27,177.86,39856.99,1793.56,0,No,
10051,Home Goods,HG-871,Supplier C,Vietnam,Los Angeles,Express,1/18/2024,1/20/2024,1/22/2024,1/22/2024,Delivered,357,11.05,22.22,3944.85,394.49,0,No,5
10052,Home Goods,HG-871,National Logistics,Mexico,Chicago,Air,10/9/2023,10/12/2023,10/19/2023,10/22/2023,Delivered,441,124.81,235.29,55041.21,4128.09,0,No,5
10053,Electronics,Model-B583,Supplier B,Mexico,Houston,Express,8/25/2024,8/28/2024,8/30/2024,8/29/2024,Delayed,394,43.76,78.4,17241.44,1724.14,0,Yes,3
10054,Home Goods,HG-593,Supplier B,Mexico,Phoenix,Land,6/11/2024,6/13/2024,6/24/2024,6/23/2024,Delayed,446,118.15,241.35,52694.9,2371.27,34,Yes,1
10055,Apparel,SKU-7098,Supplier B,USA,New York,Land,10/26/2023,10/29/2023,11/7/2023,11/8/2023,Delivered,226,34.83,80.98,7871.58,354.22,0,No,5
10056,Apparel,SKU-7098,Global Imports,China,Los Angeles,Sea,1/15/2024,1/18/2024,2/11/2024,2/11/2024,Delivered,273,146.08,241.7,39879.84,1196.4,0,No,5
10057,Home Goods,HG-593,National Logistics,China,Chicago,Air,7/5/2025,7/7/2025,7/9/2025,7/9/2025,Delivered,184,61.1,147.12,11242.4,843.18,0,No,5
10058,Apparel,SKU-2885,Supplier C,USA,Houston,Land,5/3/2024,5/4/2024,5/10/2024,5/9/2024,Delayed,251,21.89,37.47,5494.39,247.25,0,No,4
10059,Electronics,Model-D274,Supplier A,USA,Phoenix,Express,7/22/2025,7/25/2025,7/26/2025,7/29/2025,Delivered,240,43.48,83.86,10435.2,1043.52,20,No,3
10060,Home Goods,HG-723,Global Imports,Vietnam,New York,Sea,9/26/2024,9/27/2024,11/4/2024,11/3/2024,Delayed,200,35.04,68.33,7008,210.24,0,No,4
10061,Home Goods,HG-723,Global Imports,China,Los Angeles,Land,7/12/2024,7/13/2024,7/19/2024,7/20/2024,Delivered,275,121.63,185.66,33448.25,1505.17,15,No,3
10062,Home Goods,HG-753,Supplier B,Vietnam,Chicago,Express,10/3/2025,10/4/2025,10/6/2025,10/6/2025,Delivered,53,71.41,174.52,3784.73,378.47,0,No,5
10063,Apparel,SKU-2885,Global Imports,USA,Houston,Land,10/27/2023,10/31/2023,11/7/2023,11/7/2023,Delivered,402,128.79,205.57,51773.58,2329.81,0,No,5
10064,Home Goods,HG-723,Supplier C,USA,Phoenix,Land,9/6/2025,9/11/2025,9/19/2025,9/19/2025,Delivered,370,90.52,152.92,33492.4,1507.16,0,No,5
10065,Electronics,Model-E903,Supplier A,Mexico,New York,Air,7/18/2025,7/20/2025,7/24/2025,7/28/2025,Delivered,145,81.76,139.87,11855.2,889.14,0,No,5
10066,Apparel,SKU-8340,Supplier C,Germany,Los Angeles,Land,11/25/2023,11/27/2023,12/5/2023,12/8/2023,Delivered,127,14.03,26.56,1781.81,80.18,0,No,5
10067,Apparel,SKU-8340,National Logistics,Vietnam,Chicago,Sea,10/19/2023,10/21/2023,11/19/2023,11/21/2023,Delivered,237,89.61,180.4,21237.57,637.13,0,No,5
10068,Electronics,Model-A897,Supplier B,Vietnam,Houston,Air,4/7/2024,4/12/2024,4/15/2024,4/17/2024,Delivered,211,51.04,81.28,10769.44,807.71,0,No,5
10069,Apparel,SKU-7098,Global Imports,USA,Phoenix,Express,6/8/2024,6/9/2024,6/12/2024,6/12/2024,Delivered,420,97.42,205.74,40916.4,4091.64,0,No,5
10070,Home Goods,HG-792,Supplier B,Vietnam,New York,Land,11/19/2023,11/24/2023,12/1/2023,12/1/2023,Delivered,245,73.75,163.23,18068.75,813.09,0,No,5
10071,Electronics,Model-A897,Supplier C,Vietnam,Los Angeles,Express,9/17/2024,9/21/2024,9/22/2024,9/25/2024,Delivered,167,130.15,319.35,21735.05,2173.51,0,No,5
10072,Electronics,Model-D274,Supplier A,Germany,Chicago,Sea,6/22/2024,6/24/2024,7/27/2024,7/31/2024,Delivered,400,28.99,56.97,11596,347.88,0,No,5
10073,Apparel,SKU-7098,National Logistics,Vietnam,Houston,Land,6/29/2024,6/30/2024,7/7/2024,7/9/2024,Delivered,205,70.23,146.59,14397.15,647.87,0,No,5
10074,Electronics,Model-C260,Supplier A,Vietnam,Phoenix,Sea,11/14/2023,11/15/2023,12/9/2023,12/9/2023,Delivered,401,88.47,153.47,35476.47,1064.29,0,No,5
10075,Home Goods,HG-792,National Logistics,Germany,New York,Sea,8/13/2025,8/18/2025,,9/29/2025,Cancelled,131,26.5,54.22,3471.5,104.15,0,No,
10076,Apparel,SKU-1750,Global Imports,Germany,Los Angeles,Land,8/29/2024,9/1/2024,9/12/2024,9/16/2024,Delivered,312,19.67,42.46,6137.04,276.17,0,No,5
10077,Home Goods,HG-871,Supplier B,China,Chicago,Express,9/8/2025,9/10/2025,9/11/2025,9/11/2025,Delivered,72,28.67,62.25,2064.24,206.42,3,No,3
10078,Electronics,Model-A897,Supplier C,China,Houston,Express,4/27/2025,5/2/2025,5/4/2025,5/8/2025,Delivered,393,115.61,219.79,45434.73,4543.47,0,No,5
10079,Apparel,SKU-1750,Supplier C,Mexico,Phoenix,Express,6/11/2025,6/13/2025,6/16/2025,6/15/2025,Delayed,294,13.04,20,3833.76,383.38,0,No,4
10080,Electronics,Model-A897,Global Imports,Mexico,New York,Sea,11/11/2024,11/15/2024,12/24/2024,12/26/2024,Delivered,353,28.27,52.5,9979.31,299.38,0,No,5
10081,Electronics,Model-D274,Supplier A,China,Los Angeles,Sea,7/5/2024,7/6/2024,7/27/2024,7/27/2024,Delivered,469,138.5,241.59,64956.5,1948.7,0,No,5
10082,Electronics,Model-D274,National Logistics,Germany,Chicago,Air,3/26/2025,3/27/2025,3/31/2025,4/3/2025,Delivered,134,130.71,278.63,17515.14,1313.64,0,No,5
10083,Apparel,SKU-2885,Supplier C,China,Houston,Air,4/8/2025,4/11/2025,4/14/2025,4/13/2025,Delayed,291,55.56,100.21,16167.96,1212.6,0,Yes,3
10084,Electronics,Model-B583,Supplier B,USA,Phoenix,Air,9/14/2025,9/19/2025,9/22/2025,9/22/2025,Delivered,414,50.98,100.67,21105.72,1582.93,0,No,5
10085,Home Goods,HG-723,Global Imports,Mexico,New York,Express,11/4/2024,11/9/2024,11/10/2024,11/14/2024,Delivered,240,20.78,34.36,4987.2,498.72,0,No,5
10086,Electronics,Model-A897,Supplier A,USA,Los Angeles,Express,9/19/2024,9/22/2024,,9/24/2024,Cancelled,477,73.25,161.37,34940.25,3494.03,0,No,
10087,Apparel,SKU-1750,National Logistics,Mexico,Chicago,Land,4/12/2025,4/17/2025,4/25/2025,4/26/2025,Delivered,185,38.83,79.27,7183.55,323.26,0,No,5
10088,Electronics,Model-A897,Supplier C,China,Houston,Sea,6/25/2024,6/27/2024,7/24/2024,7/26/2024,Delivered,271,112.91,225.19,30598.61,917.96,0,No,5
10089,Apparel,SKU-1750,National Logistics,Mexico,Phoenix,Air,12/22/2024,12/26/2024,12/31/2024,1/2/2025,Delivered,351,90.53,202.88,31776.03,2383.2,0,No,5
10090,Home Goods,HG-792,National Logistics,Germany,New York,Land,10/2/2025,10/7/2025,10/12/2025,10/11/2025,Delayed,478,100.02,223.56,47809.56,2151.43,0,No,4
10091,Home Goods,HG-593,Supplier A,Mexico,Los Angeles,Express,6/12/2024,6/14/2024,6/17/2024,6/20/2024,Delivered,256,148.45,342.71,38003.2,3800.32,0,No,5
10092,Home Goods,HG-792,Supplier B,Mexico,Chicago,Sea,8/2/2024,8/6/2024,9/2/2024,9/1/2024,Delayed,123,116.5,191.96,14329.5,429.88,0,Yes,3
10093,Electronics,Model-E903,Global Imports,USA,Houston,Land,1/8/2025,1/10/2025,1/19/2025,1/23/2025,Delivered,178,147.29,248.32,26217.62,1179.79,0,No,5
10094,Electronics,Model-C260,Supplier C,Vietnam,Phoenix,Land,2/4/2024,2/8/2024,2/13/2024,2/17/2024,Delivered,387,119,240.76,46053,2072.39,0,No,5
10095,Electronics,Model-D274,Supplier A,Mexico,New York,Land,12/9/2024,12/12/2024,12/23/2024,12/22/2024,Delayed,428,20.38,45.59,8722.64,392.52,0,Yes,3
10096,Home Goods,HG-792,National Logistics,Mexico,Los Angeles,Sea,11/3/2023,11/4/2023,11/24/2023,11/25/2023,Delivered,365,21.73,39.63,7931.45,237.94,0,No,5
10097,Home Goods,HG-871,Supplier C,Vietnam,Chicago,Air,12/1/2024,12/6/2024,12/12/2024,12/15/2024,Delivered,140,102.74,164.8,14383.6,1078.77,0,No,5
10098,Electronics,Model-C260,Supplier B,China,Houston,Air,6/2/2024,6/4/2024,6/6/2024,6/7/2024,Delivered,350,43.21,72.54,15123.5,1134.26,0,No,5
10099,Apparel,SKU-2885,Supplier B,China,Phoenix,Express,1/19/2025,1/21/2025,1/23/2025,1/27/2025,Delivered,348,67.99,166.77,23660.52,2366.05,19,Yes,2
10100,Apparel,SKU-8340,Supplier A,Vietnam,New York,Land,9/16/2025,9/20/2025,9/30/2025,9/29/2025,Delayed,226,114.4,276.6,25854.4,1163.45,0,Yes,3
10101,Home Goods,HG-593,Supplier C,Vietnam,Los Angeles,Express,5/10/2024,5/15/2024,5/16/2024,5/20/2024,Delivered,403,13.88,32.61,5593.64,559.36,0,No,5
10102,Home Goods,HG-723,Supplier B,Vietnam,Chicago,Land,3/24/2024,3/26/2024,4/7/2024,4/7/2024,Delivered,262,58.22,100.12,15253.64,686.41,0,No,5
10103,Home Goods,HG-753,Supplier C,Germany,Houston,Sea,11/19/2024,11/21/2024,12/11/2024,12/13/2024,Delivered,444,54.27,109.54,24095.88,722.88,0,No,5
10104,Apparel,SKU-1750,Global Imports,China,Phoenix,Air,8/26/2024,8/27/2024,8/30/2024,8/31/2024,Delivered,354,111.56,250.74,39492.24,2961.92,0,No,5
10105,Home Goods,HG-871,Global Imports,Germany,New York,Sea,10/17/2023,10/19/2023,11/16/2023,11/19/2023,Delivered,176,17.07,35.56,3004.32,90.13,0,No,5
10106,Electronics,Model-E903,Supplier C,USA,Los Angeles,Land,6/19/2024,6/22/2024,,6/30/2024,Cancelled,493,67.31,162.17,33183.83,1493.27,0,No,
10107,Apparel,SKU-6533,National Logistics,Mexico,Chicago,Land,4/23/2025,4/27/2025,5/5/2025,5/7/2025,Delivered,207,105.52,193.16,21842.64,982.92,0,No,5
10108,Electronics,Model-A897,Supplier B,Germany,Houston,Air,10/3/2025,10/6/2025,10/12/2025,10/14/2025,Delivered,499,123.56,250.3,61656.44,4624.23,0,No,5
10109,Apparel,SKU-2885,Supplier A,USA,Phoenix,Air,8/11/2024,8/12/2024,8/18/2024,8/17/2024,Delayed,122,79.98,168.1,9757.56,731.82,0,No,4
10110,Apparel,SKU-8340,Supplier B,USA,New York,Express,7/16/2024,7/18/2024,,7/22/2024,Cancelled,268,76.29,163.03,20445.72,2044.57,0,No,
10111,Electronics,Model-B583,Supplier B,USA,Los Angeles,Sea,11/23/2023,11/24/2023,1/3/2024,1/3/2024,Delivered,480,113.35,277.71,54408,1632.24,0,No,5
10112,Electronics,Model-B583,Global Imports,USA,Chicago,Land,1/17/2025,1/19/2025,1/24/2025,1/27/2025,Delivered,233,18.2,41.06,4240.6,190.83,0,No,5
10113,Home Goods,HG-593,Supplier B,USA,Houston,Land,11/28/2023,11/29/2023,12/5/2023,12/6/2023,Delivered,141,105.26,211.25,14841.66,667.87,0,No,5
10114,Home Goods,HG-753,Supplier A,Mexico,Phoenix,Express,4/30/2025,5/2/2025,5/3/2025,5/3/2025,Delivered,449,70.11,158.26,31479.39,3147.94,0,No,5
10115,Home Goods,HG-871,Supplier A,China,New York,Sea,9/1/2024,9/4/2024,10/6/2024,10/5/2024,Delayed,233,139.9,280.71,32596.7,977.9,2,Yes,1
10116,Apparel,SKU-7098,Global Imports,China,Los Angeles,Air,2/16/2024,2/17/2024,2/22/2024,2/21/2024,Delayed,198,124.49,209.21,24649.02,1848.68,0,No,4
10117,Home Goods,HG-723,Supplier A,Vietnam,Chicago,Express,9/4/2025,9/7/2025,9/8/2025,9/8/2025,Delivered,102,75.94,145.58,7745.88,774.59,0,No,5
10118,Home Goods,HG-792,Supplier A,Mexico,Houston,Express,5/8/2025,5/13/2025,5/16/2025,5/19/2025,Delivered,209,94.81,146.74,19815.29,1981.53,0,No,5
10119,Apparel,SKU-8340,Supplier A,China,Phoenix,Air,3/25/2025,3/26/2025,4/1/2025,4/3/2025,Delivered,460,59.75,120.42,27485,2061.38,0,No,5
10120,Apparel,SKU-8340,Global Imports,Germany,New York,Sea,9/29/2025,10/3/2025,,11/1/2025,Cancelled,236,26.06,62.55,6150.16,184.5,0,No,
10121,Home Goods,HG-792,Global Imports,Vietnam,Los Angeles,Land,7/17/2024,7/21/2024,8/2/2024,8/1/2024,Delayed,107,110.06,189.99,11776.42,529.94,6,No,2
10122,Electronics,Model-D274,Global Imports,Germany,Chicago,Sea,1/23/2025,1/24/2025,3/3/2025,3/3/2025,Delivered,238,132.14,323.99,31449.32,943.48,0,No,5
10123,Apparel,SKU-6533,Supplier A,Germany,Houston,Air,1/24/2025,1/28/2025,2/3/2025,2/3/2025,Delivered,320,78.01,128.3,24963.2,1872.24,0,No,5
10124,Electronics,Model-E903,Supplier A,Germany,Phoenix,Air,5/26/2025,5/28/2025,6/1/2025,6/2/2025,Delivered,371,102.37,222.38,37979.27,2848.45,0,No,5
10125,Electronics,Model-B583,Global Imports,Mexico,New York,Sea,11/6/2023,11/11/2023,12/10/2023,12/10/2023,Delivered,315,148.78,328.61,46865.7,1405.97,0,No,5
10126,Home Goods,HG-871,Supplier B,USA,Los Angeles,Sea,2/2/2025,2/4/2025,3/2/2025,3/5/2025,Delivered,418,71.82,141.71,30020.76,900.62,0,No,5
10127,Apparel,SKU-7098,Supplier A,Germany,Chicago,Sea,8/10/2024,8/11/2024,9/1/2024,9/5/2024,Delivered,138,82.66,168.72,11407.08,342.21,0,No,5
10128,Electronics,Model-C260,Global Imports,Mexico,Houston,Land,10/11/2023,10/12/2023,,10/23/2023,Cancelled,310,83.77,145.57,25968.7,1168.59,0,No,
10129,Home Goods,HG-792,Global Imports,Vietnam,Phoenix,Land,6/28/2024,7/1/2024,7/6/2024,7/5/2024,Delayed,412,84.42,180.54,34781.04,1565.15,0,Yes,3
10130,Electronics,Model-A897,National Logistics,Germany,New York,Air,6/12/2024,6/17/2024,6/20/2024,6/21/2024,Delivered,230,106.24,235.37,24435.2,1832.64,0,No,5
10131,Home Goods,HG-792,Supplier C,Vietnam,Los Angeles,Land,7/10/2025,7/11/2025,7/20/2025,7/22/2025,Delivered,221,129.27,250.64,28568.67,1285.59,0,No,5
10132,Electronics,Model-D274,Supplier B,Vietnam,Chicago,Air,2/8/2025,2/10/2025,2/14/2025,2/18/2025,Delivered,393,51.17,86.38,20109.81,1508.24,0,No,5
10133,Apparel,SKU-6533,Supplier A,China,Houston,Sea,5/19/2025,5/21/2025,6/14/2025,6/13/2025,Delayed,176,112.64,223.36,19824.64,594.74,6,No,2
10134,Apparel,SKU-8340,National Logistics,USA,Phoenix,Express,9/11/2025,9/15/2025,9/16/2025,9/18/2025,Delivered,252,24.92,52.03,6279.84,627.98,0,No,5
10135,Electronics,Model-E903,Supplier A,Mexico,New York,Air,1/19/2024,1/21/2024,1/28/2024,1/27/2024,Delayed,296,106.3,165.85,31464.8,2359.86,0,No,4
10136,Electronics,Model-B583,Supplier C,Mexico,Los Angeles,Air,7/28/2024,8/1/2024,8/3/2024,8/6/2024,Delivered,309,54.48,123.08,16834.32,1262.57,0,No,5
10137,Electronics,Model-C260,Supplier B,China,Chicago,Air,5/8/2025,5/12/2025,5/15/2025,5/19/2025,Delivered,476,141.06,322.61,67144.56,5035.84,0,No,5
10138,Electronics,Model-B583,Supplier B,USA,Houston,Sea,4/25/2025,4/27/2025,5/18/2025,5/20/2025,Delivered,62,93.93,196.58,5823.66,174.71,0,No,5
10139,Home Goods,HG-593,Global Imports,USA,Phoenix,Sea,1/4/2024,1/7/2024,1/29/2024,2/2/2024,Delivered,456,112,268.05,51072,1532.16,0,No,5
10140,Apparel,SKU-8340,Supplier A,China,New York,Land,5/31/2024,6/5/2024,6/13/2024,6/16/2024,Delivered,121,83.44,131.55,10096.24,454.33,0,No,5
10141,Home Goods,HG-792,Supplier B,Mexico,Los Angeles,Sea,4/14/2024,4/19/2024,5/18/2024,5/19/2024,Delivered,143,116.35,213.66,16638.05,499.14,0,No,5
10142,Home Goods,HG-792,Supplier A,Vietnam,Chicago,Express,10/14/2023,10/17/2023,10/18/2023,10/18/2023,Delivered,186,140.92,249.46,26211.12,2621.11,0,No,5
10143,Electronics,Model-C260,Supplier A,Germany,Houston,Express,4/12/2024,4/14/2024,4/15/2024,4/14/2024,Delayed,141,143.18,267.16,20188.38,2018.84,0,Yes,3
10144,Apparel,SKU-1750,National Logistics,China,Phoenix,Air,9/2/2025,9/4/2025,9/8/2025,9/8/2025,Delivered,121,81.64,169.89,9878.44,740.88,0,No,5
10145,Home Goods,HG-871,Supplier A,Mexico,New York,Land,7/14/2024,7/15/2024,7/22/2024,7/26/2024,Delivered,247,80.29,178.6,19831.63,892.42,0,No,5
10146,Home Goods,HG-753,National Logistics,Germany,Los Angeles,Sea,3/8/2025,3/12/2025,4/18/2025,4/18/2025,Delivered,422,63.28,131.23,26704.16,801.12,0,No,5
10147,Electronics,Model-C260,National Logistics,Germany,Chicago,Land,5/8/2024,5/11/2024,5/19/2024,5/21/2024,Delivered,112,120.68,254.17,13516.16,608.23,0,No,5
10148,Electronics,Model-D274,Supplier B,Mexico,Houston,Sea,11/26/2024,12/1/2024,1/1/2025,1/2/2025,Delivered,491,142.76,300.08,70095.16,2102.85,0,No,5
10149,Electronics,Model-C260,Supplier C,Mexico,Phoenix,Express,4/25/2025,4/29/2025,5/1/2025,5/1/2025,Delivered,70,24.27,39.15,1698.9,169.89,0,No,5
10150,Electronics,Model-C260,National Logistics,Mexico,New York,Air,1/27/2024,1/29/2024,2/1/2024,2/5/2024,Delivered,117,86.42,180.33,10111.14,758.34,0,No,5
